img,Prediction,,,
4800,0.099854,,0,
2694,0.0213423,,0,
3824,0.0518,,0,
3057,0.0487896,,0,
2221,0.186102,,0,
1902,0.226368,,0,
3473,0.00197491,,0,
2037,0.334914,,0,
3008,0.615154,,0,
268,0.384513,,0,
485,0.276242,,0,
2369,0.08789,,0,
2655,0.020245,,0,
3537,0.563717,,0,
3454,0.946003,1 243600,1,
296,0.0613524,,0,
4447,0.000343419,,0,
948,0.497186,,0,
2094,0.641354,,0,
5325,0.000721036,,0,
3943,0.621449,,0,
5490,0.085364,,0,
566,0.93309,1 243600,1,
4731,0.00745947,,0,
1189,0.151706,,0,
1523,0.834136,,0,
5106,0.198151,,0,
1535,0.938298,1 243600,1,
5378,0.217658,,0,
4319,0.121739,,0,
2257,0.313179,,0,
4885,0.03124,,0,
5455,0.877194,,0,
4802,0.0219307,,0,
5460,0.00858147,,0,
4967,0.843245,,0,
1576,0.00266687,,0,
810,0.572309,,0,
2608,0.0786338,,0,
5480,0.00691147,,0,
4922,0.848116,,0,
5012,0.33834,,0,
264,0.549679,,0,
4539,0.275603,,0,
553,0.105931,,0,
313,0.00989595,,0,
2935,0.110283,,0,
3869,0.00656211,,0,
4408,0.676881,,0,
1081,0.713654,,0,
1001,0.527711,,0,
1805,0.119666,,0,
4590,0.043678,,0,
502,0.0125963,,0,
5227,0.664104,,0,
5336,0.143746,,0,
1590,0.999753,1 243600,1,
395,0.925935,1 243600,1,
2120,0.290734,,0,
830,0.0838442,,0,
843,0.0021188,,0,
2162,0.121725,,0,
5342,0.57503,,0,
2563,0.96752,1 243600,1,
1300,0.0738271,,0,
1378,0.0162441,,0,
4517,0.00844514,,0,
649,0.697951,,0,
718,0.996076,1 243600,1,
5059,0.19968,,0,
2797,0.78906,,0,
2327,0.53007,,0,
3329,0.625773,,0,
3063,0.0120395,,0,
986,0.907253,1 243600,1,
4174,0.96452,1 243600,1,
4523,0.017255,,0,
4991,0.155335,,0,
4917,0.349873,,0,
3047,0.00721972,,0,
2831,0.774615,,0,
4662,0.847455,,0,
3631,0.658399,,0,
454,0.00335417,,0,
2802,0.897118,,0,
3933,0.457905,,0,
2643,0.0155587,,0,
5013,0.00760621,,0,
4240,0.983677,1 243600,1,
5306,0.706325,,0,
5191,0.89376,,0,
417,0.185378,,0,
4924,0.766336,,0,
4118,0.946588,1 243600,1,
3659,0.0163,,0,
2503,0.236433,,0,
3906,0.0103885,,0,
1047,0.973303,1 243600,1,
1162,0.991785,1 243600,1,
4391,0.465436,,0,
216,0.0312787,,0,
5443,0.883097,,0,
4364,0.572977,,0,
768,0.289284,,0,
103,0.142442,,0,
5266,0.969779,1 243600,1,
3790,0.523168,,0,
669,0.933365,1 243600,1,
3257,0.151627,,0,
2840,0.36289,,0,
3630,0.669759,,0,
4078,0.953061,1 243600,1,
1073,0.80753,,0,
3373,0.00598593,,0,
1745,0.024038,,0,
652,0.373666,,0,
5134,0.073319,,0,
3059,0.206278,,0,
3353,0.308463,,0,
1011,0.856855,,0,
3416,0.233861,,0,
3370,0.555818,,0,
3427,0.600675,,0,
1385,0.482703,,0,
791,0.994483,1 243600,1,
229,0.882616,,0,
3787,0.220963,,0,
3662,0.00122485,,0,
5410,0.0032172,,0,
3093,0.86371,,0,
3088,0.0256415,,0,
617,0.198062,,0,
4646,0.643235,,0,
5217,0.00986631,,0,
723,0.362784,,0,
5247,0.0528132,,0,
3183,0.28378,,0,
3729,0.0679819,,0,
1123,0.111902,,0,
2930,0.561542,,0,
2490,0.0700073,,0,
146,0.98618,1 243600,1,
2990,0.0587127,,0,
1203,0.532106,,0,
959,0.236205,,0,
1455,0.314511,,0,
2823,0.239692,,0,
3875,0.971754,1 243600,1,
5159,0.00273717,,0,
4628,0.624886,,0,
1139,0.800731,,0,
1430,0.488272,,0,
1419,0.230313,,0,
3538,0.0156188,,0,
2394,0.0206009,,0,
4789,0.274828,,0,
3754,0.18352,,0,
3215,0.155543,,0,
2712,0.208637,,0,
4390,0.897113,,0,
4688,0.0271155,,0,
3425,0.837613,,0,
2897,0.969732,1 243600,1,
4187,0.0460854,,0,
5404,0.774103,,0,
3764,0.838635,,0,
4251,0.786021,,0,
2527,0.170205,,0,
1670,0.475469,,0,
5283,0.610595,,0,
5112,0.771597,,0,
2922,0.237437,,0,
16,0.442152,,0,
4331,0.998438,1 243600,1,
1216,0.714752,,0,
1431,0.367689,,0,
1391,0.386321,,0,
3366,0.140603,,0,
1264,0.982577,1 243600,1,
1164,0.0877745,,0,
4877,0.925639,1 243600,1,
5390,0.488325,,0,
4719,0.0163518,,0,
1691,0.0242851,,0,
3685,0.527723,,0,
2801,0.325316,,0,
2205,0.016601,,0,
1383,0.00114426,,0,
704,0.0329976,,0,
2434,0.385856,,0,
3858,0.190847,,0,
3438,0.336071,,0,
2886,0.115348,,0,
204,0.2846,,0,
890,0.0251201,,0,
3614,0.0257795,,0,
5486,0.143858,,0,
2702,0.816405,,0,
177,0.169129,,0,
195,0.785639,,0,
5087,0.999991,1 243600,1,
4458,0.471132,,0,
223,0.00158016,,0,
3471,0.0030269,,0,
4113,0.0267379,,0,
1728,0.213662,,0,
5293,0.00757011,,0,
4928,0.000331272,,0,
302,0.670916,,0,
4256,0.193187,,0,
4367,0.197302,,0,
2561,0.0683592,,0,
2260,0.499938,,0,
3781,0.971166,1 243600,1,
2883,0.507174,,0,
3855,0.936735,1 243600,1,
5032,0.0998925,,0,
3849,0.116704,,0,
4826,0.553097,,0,
1981,0.0867786,,0,
654,0.706179,,0,
4949,0.02819,,0,
1307,0.115132,,0,
4835,0.522363,,0,
4007,0.303967,,0,
4395,0.000198168,,0,
438,0.0129074,,0,
1376,0.16297,,0,
4363,0.26667,,0,
433,0.17929,,0,
2292,0.148572,,0,
1301,0.322453,,0,
1100,0.0154981,,0,
270,0.418358,,0,
2749,0.996021,1 243600,1,
685,0.0538515,,0,
4493,0.192199,,0,
4209,0.0375403,,0,
123,0.0165522,,0,
5051,0.0942571,,0,
3461,0.22832,,0,
4152,0.541481,,0,
2581,0.00443526,,0,
3965,0.051384,,0,
2252,0.00286715,,0,
306,0.591753,,0,
2026,0.429832,,0,
4476,0.914658,1 243600,1,
3509,0.559845,,0,
1676,0.0296492,,0,
4210,0.191394,,0,
2760,0.0163186,,0,
3872,0.496398,,0,
1414,0.562499,,0,
2711,0.623473,,0,
1628,0.112348,,0,
719,0.00323858,,0,
2845,0.655472,,0,
2443,0.949523,1 243600,1,
3138,0.226431,,0,
3632,0.00286466,,0,
4541,0.364788,,0,
1351,0.0698414,,0,
2054,0.211983,,0,
3086,0.152833,,0,
4859,0.988226,1 243600,1,
2247,0.400247,,0,
2552,0.99939,1 243600,1,
642,0.258002,,0,
186,0.0161234,,0,
4114,0.00265239,,0,
1645,0.861631,,0,
2963,0.0909304,,0,
2660,0.743262,,0,
602,0.0526989,,0,
1943,0.777546,,0,
758,0.410966,,0,
3957,0.0964227,,0,
4177,0.445852,,0,
3252,0.477891,,0,
4061,0.990849,1 243600,1,
1339,0.105259,,0,
1252,0.653525,,0,
2732,0.0125411,,0,
2681,0.153212,,0,
3618,0.45977,,0,
371,0.228593,,0,
3295,0.680555,,0,
3173,0.0162206,,0,
3084,0.419212,,0,
982,0.127591,,0,
4821,0.000236483,,0,
1927,0.0062071,,0,
663,0.10867,,0,
1915,6.17E-05,,0,
380,0.358635,,0,
954,0.00640808,,0,
1313,0.534365,,0,
3716,0.686345,,0,
156,0.553047,,0,
1583,0.442965,,0,
3723,0.283863,,0,
2165,0.962956,1 243600,1,
3130,0.045889,,0,
1382,0.0249985,,0,
1259,0.120598,,0,
94,0.00878095,,0,
4478,0.949511,1 243600,1,
3986,0.530622,,0,
4552,0.991847,1 243600,1,
5113,0.548909,,0,
4414,0.563643,,0,
2402,0.141349,,0,
679,0.998346,1 243600,1,
1275,0.756348,,0,
5210,0.0544343,,0,
3236,0.982457,1 243600,1,
894,0.0070271,,0,
2036,0.179885,,0,
1315,2.70E-05,,0,
1038,0.001061,,0,
5361,0.000590092,,0,
2719,0.0528262,,0,
1900,0.436801,,0,
4948,0.0831727,,0,
274,0.763945,,0,
2617,0.38621,,0,
3225,0.0775026,,0,
1149,0.393816,,0,
548,0.185474,,0,
3023,0.396096,,0,
2400,0.0395127,,0,
823,0.460719,,0,
4555,0.464907,,0,
1152,0.0308954,,0,
3730,0.771437,,0,
1785,0.977357,1 243600,1,
796,0.277716,,0,
1964,0.0188381,,0,
4782,0.000259822,,0,
2644,0.100829,,0,
1799,0.0219186,,0,
5498,0.0984314,,0,
3989,0.00263264,,0,
473,0.20852,,0,
2939,0.0398399,,0,
110,0.0133049,,0,
410,0.107477,,0,
170,0.130931,,0,
5424,0.775913,,0,
1685,0.703656,,0,
3100,0.933468,1 243600,1,
166,0.0209062,,0,
766,0.503474,,0,
3778,0.44646,,0,
4279,0.00363139,,0,
1423,0.26908,,0,
5475,0.182075,,0,
4044,0.0011568,,0,
2218,0.0505207,,0,
4900,0.429069,,0,
3451,0.493334,,0,
159,0.178913,,0,
2414,0.335311,,0,
2890,0.990932,1 243600,1,
3472,0.969732,1 243600,1,
1581,0.0100145,,0,
3677,0.530164,,0,
4619,0.166172,,0,
844,0.411783,,0,
4352,0.758653,,0,
4009,0.134233,,0,
2740,0.48562,,0,
5215,0.00249555,,0,
1624,0.0645693,,0,
2601,0.981407,1 243600,1,
2343,0.223958,,0,
3480,0.664512,,0,
3300,0.885739,,0,
4494,0.0634286,,0,
3839,0.304681,,0,
2770,0.323591,,0,
2553,0.459723,,0,
1393,0.0369037,,0,
5061,0.528784,,0,
4291,0.0196046,,0,
3161,0.00597454,,0,
1358,0.671246,,0,
2856,0.181946,,0,
646,0.47528,,0,
978,0.00958479,,0,
4625,0.263122,,0,
5273,0.00334103,,0,
5105,0.819372,,0,
2670,0.674381,,0,
1751,0.534475,,0,
1279,0.0608838,,0,
1441,0.00971815,,0,
1516,0.160256,,0,
143,0.189793,,0,
3150,0.137175,,0,
2052,0.469607,,0,
4400,0.532595,,0,
3332,0.128923,,0,
2448,6.30E-05,,0,
4503,0.830107,,0,
2718,0.264177,,0,
476,0.531763,,0,
880,0.301414,,0,
2204,0.0460854,,0,
4176,0.047599,,0,
1122,0.395232,,0,
4420,0.393703,,0,
4652,0.949112,1 243600,1,
3408,0.997739,1 243600,1,
24,0.519712,,0,
4828,0.322335,,0,
3273,0.833413,,0,
4685,0.0521122,,0,
3154,0.0961091,,0,
2341,0.226374,,0,
613,0.569975,,0,
1329,0.842915,,0,
2329,0.549393,,0,
3850,0.0392147,,0,
1496,0.417156,,0,
2060,0.00270501,,0,
675,0.492475,,0,
4333,0.173836,,0,
2435,0.819769,,0,
914,0.536671,,0,
423,0.543659,,0,
4462,0.326629,,0,
3571,0.21853,,0,
2946,0.326907,,0,
128,0.676394,,0,
1827,0.162905,,0,
848,0.000971305,,0,
4795,0.305238,,0,
3282,0.401371,,0,
4110,0.236868,,0,
3452,0.188679,,0,
2557,0.00032086,,0,
2144,0.0259644,,0,
1103,0.132967,,0,
4911,0.0628687,,0,
3775,0.0331308,,0,
815,0.964373,1 243600,1,
779,0.0970412,,0,
5046,0.0140014,,0,
2910,0.969779,1 243600,1,
2868,0.342558,,0,
3362,0.895841,,0,
1974,0.816229,,0,
5339,0.00386203,,0,
1293,0.00253188,,0,
4774,0.000197822,,0,
3410,0.173503,,0,
4217,0.20606,,0,
2290,0.998715,1 243600,1,
4902,0.154632,,0,
4820,0.00713598,,0,
1878,0.0140916,,0,
2645,0.364405,,0,
2979,0.202301,,0,
952,0.00386753,,0,
3626,0.179918,,0,
5062,0.668106,,0,
3645,0.129798,,0,
1578,0.952998,1 243600,1,
4263,0.00323871,,0,
1747,0.882405,,0,
130,0.330954,,0,
17,0.00738885,,0,
3025,0.00249377,,0,
4287,0.0731144,,0,
3484,0.000142148,,0,
1395,0.633371,,0,
4860,4.95E-05,,0,
1634,0.399172,,0,
4891,0.110891,,0,
1191,0.0339476,,0,
2571,0.668057,,0,
4488,0.0020834,,0,
1343,0.2146,,0,
5245,0.0624979,,0,
5452,0.638933,,0,
827,0.29818,,0,
5359,0.584068,,0,
504,0.96298,1 243600,1,
953,0.962959,1 243600,1,
5309,0.832403,,0,
839,0.704239,,0,
4439,0.0643045,,0,
2723,0.601115,,0,
5367,0.536972,,0,
886,0.0938932,,0,
142,0.00276827,,0,
640,0.199391,,0,
5045,0.846977,,0,
4146,0.000317715,,0,
3921,0.0153956,,0,
1825,0.698214,,0,
2885,0.00363139,,0,
1303,0.0438205,,0,
165,0.0111135,,0,
4019,0.252364,,0,
1812,0.4663,,0,
1832,0.445803,,0,
1905,0.534983,,0,
3007,0.341225,,0,
736,0.995043,1 243600,1,
1924,0.00298464,,0,
5256,0.882055,,0,
1215,0.191491,,0,
4558,0.991092,1 243600,1,
3671,0.046871,,0,
5042,0.417517,,0,
1177,0.00128926,,0,
4015,0.914824,1 243600,1,
1972,0.0398302,,0,
308,0.872145,,0,
2014,0.17506,,0,
4858,0.00101849,,0,
1335,0.0255358,,0,
4964,0.67449,,0,
4025,0.592052,,0,
325,0.00908996,,0,
4998,0.115375,,0,
1740,0.120828,,0,
3681,0.972126,1 243600,1,
2484,0.484584,,0,
4985,0.338888,,0,
3558,0.432899,,0,
3820,0.928383,1 243600,1,
3002,0.00894838,,0,
3553,0.198069,,0,
784,0.18379,,0,
5236,0.582415,,0,
4011,0.209969,,0,
4173,0.0224868,,0,
3497,0.00118962,,0,
1256,0.0239042,,0,
577,0.695683,,0,
3283,0.71792,,0,
576,0.399726,,0,
3592,0.982685,1 243600,1,
3310,0.0623321,,0,
4156,0.0147914,,0,
4580,0.673138,,0,
3502,0.709228,,0,
3378,0.638933,,0,
3406,0.199643,,0,
1458,0.104152,,0,
3026,0.0371768,,0,
4661,0.222082,,0,
3998,0.491997,,0,
2123,0.159048,,0,
3530,0.00404569,,0,
1188,0.114536,,0,
5268,0.663865,,0,
2618,0.137009,,0,
2972,0.472675,,0,
3890,0.580583,,0,
2528,0.00131764,,0,
4981,0.0499415,,0,
3083,0.0117392,,0,
1995,0.879114,,0,
1655,0.393623,,0,
3230,0.838146,,0,
2680,0.266606,,0,
2537,0.59173,,0,
1877,0.00534011,,0,
3158,0.0359318,,0,
981,0.702339,,0,
4045,0.463508,,0,
4321,0.00268424,,0,
2810,0.00296045,,0,
2728,0.117031,,0,
3031,0.00881025,,0,
4055,0.0836892,,0,
2097,0.073088,,0,
3457,0.488701,,0,
4945,0.0119782,,0,
4956,0.528266,,0,
294,0.610041,,0,
4650,0.87429,,0,
4288,0.0354713,,0,
515,0.366236,,0,
1032,0.762231,,0,
1439,0.219534,,0,
1418,0.140888,,0,
5288,0.0424246,,0,
3874,0.333515,,0,
5315,0.996194,1 243600,1,
3852,0.000648943,,0,
2057,0.450748,,0,
15,0.820924,,0,
897,0.00140733,,0,
856,0.330179,,0,
4649,0.416252,,0,
4773,0.0539492,,0,
4758,0.522198,,0,
66,0.0209102,,0,
3108,0.659425,,0,
4852,0.164928,,0,
1547,0.118128,,0,
5158,0.0574257,,0,
2832,0.225298,,0,
2903,0.40793,,0,
2898,0.923497,1 243600,1,
2384,0.000971201,,0,
560,0.457039,,0,
4276,0.110044,,0,
1400,0.0265111,,0,
267,0.938079,1 243600,1,
48,0.138366,,0,
1729,0.216203,,0,
5072,0.331821,,0,
2647,0.014337,,0,
662,0.445907,,0,
4722,0.231609,,0,
4589,0.00355987,,0,
1185,0.233628,,0,
4255,0.950854,1 243600,1,
2679,0.222906,,0,
3144,0.99503,1 243600,1,
1089,0.816531,,0,
2593,0.543611,,0,
1297,0.870264,,0,
33,0.371093,,0,
4042,0.999809,1 243600,1,
862,0.0898731,,0,
1219,0.0955119,,0,
4272,0.00663508,,0,
5466,0.347615,,0,
2509,0.999303,1 243600,1,
5149,0.737726,,0,
755,0.421595,,0,
1998,0.0525533,,0,
570,0.793075,,0,
2880,0.447043,,0,
163,0.539476,,0,
4653,0.813328,,0,
638,0.847243,,0,
3053,0.254058,,0,
4232,0.430746,,0,
414,0.359326,,0,
337,0.548904,,0,
1677,0.434855,,0,
2804,0.449627,,0,
2437,0.185034,,0,
905,0.133675,,0,
109,0.402681,,0,
2299,0.0074041,,0,
1890,0.0714775,,0,
3768,0.769637,,0,
1842,0.00871705,,0,
2628,0.897025,,0,
2986,0.0187087,,0,
4334,0.0658916,,0,
1565,0.224391,,0,
2826,0.054227,,0,
4307,0.00143161,,0,
561,0.149396,,0,
2776,0.0424214,,0,
3873,0.660681,,0,
398,0.718511,,0,
2308,0.00299458,,0,
3032,0.0213032,,0,
4407,0.196307,,0,
782,0.969732,1 243600,1,
1571,0.134677,,0,
2051,0.056153,,0,
5417,0.0709714,,0,
2583,0.103126,,0,
2871,0.397597,,0,
2492,0.00124687,,0,
2714,0.30743,,0,
4304,0.0265539,,0,
911,0.0289578,,0,
5138,0.182394,,0,
4564,0.811749,,0,
976,0.259618,,0,
3692,0.124514,,0,
1,0.0258624,,0,
4213,0.981752,1 243600,1,
4467,0.821169,,0,
1976,0.0085441,,0,
2962,0.940152,1 243600,1,
346,0.580039,,0,
2129,0.589672,,0,
3415,0.301885,,0,
1853,0.229134,,0,
5425,0.158811,,0,
2075,0.866494,,0,
4851,0.600227,,0,
1774,0.587396,,0,
2978,0.0554703,,0,
1245,0.0588007,,0,
786,0.0217033,,0,
5488,0.0788796,,0,
1217,0.485099,,0,
323,0.522954,,0,
321,0.757322,,0,
5219,0.46863,,0,
3549,0.759283,,0,
3985,0.686482,,0,
587,0.126394,,0,
2472,0.383602,,0,
3004,0.408161,,0,
4601,0.16692,,0,
540,0.00361941,,0,
3665,0.1368,,0,
4086,0.00599809,,0,
618,0.0223167,,0,
3741,0.154045,,0,
1195,7.73E-05,,0,
1042,0.680248,,0,
4994,0.266085,,0,
4908,0.405343,,0,
488,0.994101,1 243600,1,
1575,0.723127,,0,
5182,0.614366,,0,
661,0.0957557,,0,
2697,0.253617,,0,
3950,0.0344564,,0,
5353,0.26875,,0,
2074,0.891465,,0,
2961,0.507536,,0,
2078,0.219647,,0,
1101,0.00287425,,0,
4258,0.00523014,,0,
160,0.144538,,0,
2516,0.629119,,0,
2921,0.979535,1 243600,1,
2829,0.428757,,0,
1580,0.0089211,,0,
5092,0.614786,,0,
916,0.515725,,0,
4894,0.299195,,0,
2611,0.0370609,,0,
2424,0.000731037,,0,
4124,0.00669368,,0,
2846,0.82538,,0,
1926,0.0432993,,0,
3116,0.188523,,0,
1113,0.00662113,,0,
3413,0.816993,,0,
1852,0.462412,,0,
1265,0.230499,,0,
972,0.988209,1 243600,1,
1389,0.878056,,0,
551,0.675007,,0,
5373,0.985053,1 243600,1,
4690,0.00310569,,0,
2777,0.0284269,,0,
3435,0.122107,,0,
2964,0.00630046,,0,
889,0.00885533,,0,
4506,0.86899,,0,
538,0.00579137,,0,
3280,0.0721192,,0,
5068,0.00687955,,0,
3030,0.010428,,0,
2970,0.996818,1 243600,1,
5311,0.910178,1 243600,1,
4743,0.013874,,0,
2815,0.397045,,0,
2339,0.196105,,0,
4920,0.103887,,0,
519,0.738892,,0,
765,0.0226562,,0,
748,0.00239517,,0,
1366,0.0849276,,0,
1119,0.0511825,,0,
4718,0.183182,,0,
1539,0.00199039,,0,
1508,0.540681,,0,
1285,0.411684,,0,
1951,0.713176,,0,
162,0.444524,,0,
650,0.0993161,,0,
5157,0.72553,,0,
526,0.239524,,0,
5200,0.738622,,0,
269,0.00183175,,0,
3414,0.777108,,0,
934,0.00445572,,0,
1840,0.0291027,,0,
2090,0.0348222,,0,
4016,0.327612,,0,
3016,0.240815,,0,
5292,0.893093,,0,
3713,0.00151109,,0,
3489,0.019164,,0,
5291,0.0235033,,0,
859,0.0593911,,0,
4347,0.527889,,0,
3066,0.0951582,,0,
3188,0.0885877,,0,
5344,0.481327,,0,
3267,0.648108,,0,
4699,0.00835857,,0,
5289,0.0107816,,0,
4249,0.0533448,,0,
3810,6.50E-05,,0,
3159,0.516071,,0,
5115,0.122053,,0,
988,0.533229,,0,
746,0.15136,,0,
962,0.655373,,0,
4401,0.0536768,,0,
1404,0.527889,,0,
5314,0.132593,,0,
5000,0.600343,,0,
310,0.949943,1 243600,1,
125,0.49516,,0,
4195,0.863557,,0,
4292,0.620985,,0,
1258,0.213284,,0,
205,0.199168,,0,
542,0.171718,,0,
908,0.972408,1 243600,1,
406,0.698357,,0,
4520,0.344689,,0,
1135,0.834022,,0,
3184,0.315838,,0,
1370,0.513094,,0,
647,0.969732,1 243600,1,
2025,0.877838,,0,
4166,0.107733,,0,
3095,0.0555447,,0,
2191,3.42E-05,,0,
85,0.0913422,,0,
1140,0.185774,,0,
2879,0.999744,1 243600,1,
4068,0.95534,1 243600,1,
415,0.326328,,0,
4832,0.829649,,0,
4673,0.00675047,,0,
5317,0.00309913,,0,
3714,0.344965,,0,
2447,0.887408,,0,
79,0.0468184,,0,
698,0.898164,,0,
2918,0.98151,1 243600,1,
4311,0.487017,,0,
2590,0.00630028,,0,
3799,0.0275996,,0,
1534,0.912648,1 243600,1,
3168,0.527426,,0,
5482,0.00270695,,0,
1359,0.652728,,0,
5116,0.0878598,,0,
1717,0.765268,,0,
2568,0.796727,,0,
3251,0.836175,,0,
2380,0.7702,,0,
1384,0.0829822,,0,
5020,0.153845,,0,
2794,0.508689,,0,
3054,0.82239,,0,
2131,0.142132,,0,
4365,0.192842,,0,
5006,0.0460854,,0,
4296,0.885362,,0,
2635,0.699704,,0,
3915,0.351447,,0,
2957,0.0680031,,0,
1750,0.00558512,,0,
2487,0.213719,,0,
4349,0.56379,,0,
4089,0.0125028,,0,
3117,0.102304,,0,
648,0.516679,,0,
2223,0.0751083,,0,
1080,0.0651632,,0,
4866,5.08E-05,,0,
236,0.98469,1 243600,1,
5127,0.527969,,0,
1442,0.799451,,0,
18,0.214435,,0,
2534,0.417732,,0,
2506,0.068174,,0,
5225,0.799177,,0,
2821,0.103288,,0,
4139,0.00274185,,0,
2602,0.0675864,,0,
3343,0.488186,,0,
1263,0.10722,,0,
3149,0.673959,,0,
1500,0.0714614,,0,
3256,0.485557,,0,
3192,0.184041,,0,
1790,0.00255198,,0,
4818,0.433513,,0,
903,0.777979,,0,
3290,0.0219779,,0,
5082,0.103646,,0,
1605,0.8344,,0,
2684,0.171674,,0,
586,0.0108869,,0,
174,0.296074,,0,
834,0.770356,,0,
3308,0.589881,,0,
1786,0.235941,,0,
5418,0.340479,,0,
4633,0.0911326,,0,
3455,0.122644,,0,
2766,0.890416,,0,
715,0.930805,1 243600,1,
4076,0.149264,,0,
2184,0.429069,,0,
5349,0.785682,,0,
1734,0.290896,,0,
3371,0.153465,,0,
4161,0.0199678,,0,
1374,0.0216189,,0,
4528,0.0128211,,0,
1271,0.371346,,0,
3826,0.829668,,0,
568,0.0391261,,0,
963,0.399194,,0,
2609,0.990094,1 243600,1,
1545,0.0540528,,0,
3091,0.247132,,0,
4618,0.0472357,,0,
2256,0.0125223,,0,
2773,0.134665,,0,
1563,0.850706,,0,
1413,0.971144,1 243600,1,
4582,0.555403,,0,
3864,0.907956,1 243600,1,
1795,0.0192341,,0,
787,0.145604,,0,
2095,0.788777,,0,
866,0.00636383,,0,
3465,0.575983,,0,
5091,0.0564667,,0,
4043,0.00290032,,0,
348,0.622067,,0,
4282,0.449034,,0,
3,0.371113,,0,
5432,0.00576942,,0,
442,0.265236,,0,
1325,0.495801,,0,
1244,0.0580619,,0,
3181,0.531405,,0,
5027,0.871761,,0,
4026,0.0540643,,0,
5264,0.417502,,0,
2344,0.907898,1 243600,1,
4313,0.00263349,,0,
4845,0.783234,,0,
1957,0.995458,1 243600,1,
3715,0.847426,,0,
4881,0.238259,,0,
1706,0.656665,,0,
537,0.00120166,,0,
741,0.00316336,,0,
4569,0.232077,,0,
781,0.291667,,0,
5504,0.0307789,,0,
4211,0.943428,1 243600,1,
2498,0.613707,,0,
2334,0.0784067,,0,
2383,0.153163,,0,
3174,0.962993,1 243600,1,
3580,0.116835,,0,
1627,0.163498,,0,
803,0.530145,,0,
1804,0.000389955,,0,
4361,0.257478,,0,
3323,0.7805,,0,
1057,0.966913,1 243600,1,
46,0.777957,,0,
366,0.999131,1 243600,1,
714,0.032217,,0,
2045,0.67371,,0,
2636,0.040123,,0,
4359,0.0051584,,0,
588,0.000125012,,0,
2305,0.0770917,,0,
4426,0.00054779,,0,
5179,0.161108,,0,
1970,0.205998,,0,
1654,0.43008,,0,
2932,0.0609054,,0,
1356,0.0546712,,0,
3586,0.0222222,,0,
937,0.25972,,0,
2378,0.109155,,0,
4429,0.229995,,0,
608,0.0831815,,0,
316,0.758879,,0,
3146,0.711321,,0,
197,0.150979,,0,
2976,0.98986,1 243600,1,
878,0.0330281,,0,
3718,0.0144919,,0,
4689,0.308551,,0,
1945,0.963029,1 243600,1,
3331,0.0354701,,0,
4615,0.33588,,0,
5137,0.539073,,0,
4138,0.545119,,0,
2514,0.112232,,0,
5290,0.523035,,0,
13,0.928617,1 243600,1,
4748,0.687007,,0,
3420,0.96298,1 243600,1,
3806,0.408482,,0,
4441,0.298045,,0,
